"pressure [MPa]","density [g/ml]","viscosity [Pa*s]","enthalpy [kJ/kg]"
3.75000,9.39273174e-01,2.19540772e-04,5.35350759e+02
3.76000,9.39278249e-01,2.19543382e-04,5.35357633e+02
3.77000,9.39283324e-01,2.19545991e-04,5.35364507e+02
3.78000,9.39288399e-01,2.19548601e-04,5.35371381e+02
3.79000,9.39293474e-01,2.19551211e-04,5.35378255e+02
3.80000,9.39298548e-01,2.19553821e-04,5.35385129e+02
3.81000,9.39303623e-01,2.19556430e-04,5.35392003e+02
3.82000,9.39308697e-01,2.19559040e-04,5.35398877e+02
3.83000,9.39313771e-01,2.19561649e-04,5.35405751e+02
3.84000,9.39318844e-01,2.19564259e-04,5.35412625e+02
3.85000,9.39323918e-01,2.19566868e-04,5.35419500e+02
3.86000,9.39328992e-01,2.19569478e-04,5.35426374e+02
3.87000,9.39334065e-01,2.19572087e-04,5.35433249e+02
3.88000,9.39339138e-01,2.19574697e-04,5.35440124e+02
3.89000,9.39344211e-01,2.19577306e-04,5.35446998e+02
3.90000,9.39349284e-01,2.19579915e-04,5.35453873e+02
3.91000,9.39354357e-01,2.19582524e-04,5.35460748e+02
3.92000,9.39359429e-01,2.19585133e-04,5.35467623e+02
3.93000,9.39364501e-01,2.19587743e-04,5.35474498e+02
3.94000,9.39369573e-01,2.19590352e-04,5.35481373e+02
3.95000,9.39374645e-01,2.19592961e-04,5.35488248e+02
3.96000,9.39379717e-01,2.19595570e-04,5.35495123e+02
3.97000,9.39384789e-01,2.19598179e-04,5.35501998e+02
3.98000,9.39389860e-01,2.19600788e-04,5.35508874e+02
3.99000,9.39394931e-01,2.19603396e-04,5.35515749e+02
4.00000,9.39400002e-01,2.19606005e-04,5.35522624e+02
4.01000,9.39405073e-01,2.19608614e-04,5.35529500e+02
4.02000,9.39410144e-01,2.19611223e-04,5.35536376e+02
4.03000,9.39415215e-01,2.19613832e-04,5.35543251e+02
4.04000,9.39420285e-01,2.19616440e-04,5.35550127e+02
4.05000,9.39425355e-01,2.19619049e-04,5.35557003e+02
4.06000,9.39430425e-01,2.19621657e-04,5.35563879e+02
4.07000,9.39435495e-01,2.19624266e-04,5.35570755e+02
4.08000,9.39440565e-01,2.19626875e-04,5.35577631e+02
4.09000,9.39445635e-01,2.19629483e-04,5.35584507e+02
4.10000,9.39450704e-01,2.19632091e-04,5.35591383e+02
4.11000,9.39455773e-01,2.19634700e-04,5.35598260e+02
4.12000,9.39460842e-01,2.19637308e-04,5.35605136e+02
4.13000,9.39465911e-01,2.19639916e-04,5.35612012e+02
4.14000,9.39470980e-01,2.19642525e-04,5.35618889e+02
4.15000,9.39476048e-01,2.19645133e-04,5.35625765e+02
4.16000,9.39481116e-01,2.19647741e-04,5.35632642e+02
4.17000,9.39486185e-01,2.19650349e-04,5.35639519e+02
4.18000,9.39491253e-01,2.19652957e-04,5.35646395e+02
4.19000,9.39496321e-01,2.19655565e-04,5.35653272e+02
4.20000,9.39501388e-01,2.19658173e-04,5.35660149e+02
4.21000,9.39506456e-01,2.19660781e-04,5.35667026e+02
4.22000,9.39511523e-01,2.19663389e-04,5.35673903e+02
4.23000,9.39516590e-01,2.19665997e-04,5.35680780e+02
4.24000,9.39521657e-01,2.19668605e-04,5.35687657e+02
4.25000,9.39526724e-01,2.19671213e-04,5.35694535e+02
4.26000,9.39531791e-01,2.19673821e-04,5.35701412e+02
4.27000,9.39536857e-01,2.19676428e-04,5.35708290e+02
4.28000,9.39541923e-01,2.19679036e-04,5.35715167e+02
4.29000,9.39546989e-01,2.19681644e-04,5.35722045e+02
4.30000,9.39552055e-01,2.19684251e-04,5.35728922e+02
